id,00Bibliográfia,01Sorszám_RMNY,01Sorszám_RMNY-S,13Lelöhely,13Lelöhely_count,15Olim,15Olim_count
ermk5442,RMNY,129,,,0,,0
ermk5443,RMNY,130,,Budapest Nat 1 – Sibiu Arch 2* – Sibiu Mus 2*,3,"Brassó, ev. gymn.",1
ermk5444,RMNY,131,,Budapest Nat phot. – Sibiu Ev 1,1,,0
ermk5445,RMNY,132,,,0,,0
ermk5446,RMNY,133,,Braşov Ev 1 – Budapest Nat phot. (Sibiu Mus) – Sibiu Arch 1 – Sibiu Mus 1 1 1 – Sighişoara 1,6,"Gyulafehérvár, Batthyány",1
ermk5447,RMNY,134,,,0,,0
ermk5450,RMNY,135,,Budapest Nat phot. (Cluj) – Cluj Acad III 2 – Sighişoara 2,2,,0
ermk5451,RMNY,136,,,0,,0
ermk5454,RMNY,137,,,0,,0
ermk5456,RMNY,138,,Alba Iulia 2* – Braşov Ev 2* – Budapest Nat 1 – Budapest Univ 2 – Sibiu Ev 2* – Sibiu Mus 1 1 1 1 2 2 – Sighişoara 2 2 3*,14,,0
ermk5457,RMNY,139,,Bucureşti Acad 2 – Budapest Nat 2 + phot. supplet (Bucureşti) – Sofija Mus Orthod O,3,,0
ermk5458,RMNY,140,,Braşov Ev 2 – Budapest Acad 1 (Emich Gusztáv),2,,0
ermk5459,RMNY,141,,Budapest Acad 1 – Cluj Univ 1,2,"Marosszentkirály, Ráduly Sámuel",1
ermk5460,RMNY,142,,Braşov Ev 1 – Budapest Acad 1 2* (Emich Gusztáv) – Sighişoara 1,4,,0
ermk5461,RMNY,143,,Budapest Acad + Nat phot. (Sibiu Mus) – Sibiu Arch 1 – Sibiu Mus 1,2,,0
ermk5462,RMNY,144,,Gotha Nat 1,1,,0
ermk5464,RMNY,145,,,0,,0
ermk5466,RMNY,146,,Budapest Nat 2,1,,0
ermk5467,RMNY,147,,Budapest Nat phot. – Sibiu Mus 1,1,,0
ermk5468,RMNY,148,,Budapest Nat 1,1,"Berlin, Nat (Gesamtkatalog der Preussischen Bibliotheken 5.7963)",1
ermk5469,RMNY,149,,Budapest Acad phot. (Debrecen) – Debrecen Ref 3*,1,"Gyulafehérvár, Batthyány – Kolozsvár, Erd. Mus.",2
ermk5470,RMNY,150,,,0,,0
ermk5473,RMNY,151,,Budapest Nat phot. – Wien Nat 1,1,,0
ermk5475,RMNY,152,,Budapest Acad 1 – Budapest Nat 4,2,,0
ermk5476,RMNY,153,,Budapest Acad phot. (Cluj) – Cluj Acad III 1 – Wrocław Ossolinaeum O,2,,0
ermk5477,RMNY,154,,Alba Iulia 1 – Budapest Acad 2 – Budapest Nat 2* 4 – Cluj Acad III 1 – Cluj Univ 1 – Debrecen Ref 1,7,"Gyulafehérvár, seminarium 2 expl. – Bethlen, Bethlen Pálné",3
ermk5478,RMNY,155,,Budapest Nat 1,1,,0
ermk5479,RMNY,156,,"Aiud 2 – Alba Iulia 2 – Berlin Univ Inst 1 – Bratislava MS 2 – Bratislava Pedag 3 – Budapest Acad 1 2 2 4 – Budapest Acad Lingu 3 – Budapest Civ 2 – Budapest Ev 1 – Budapest Nat 1 2* 2 2 3 – Budapest Ref 2 2 – Budapest Univ 2 – Budapest Zsámár József 2 – Cluj Acad I 2 (szatmári püspökség) – Cluj Acad II 1 2 – Cluj Acad III 2 2 3 – Cluj Univ 1 2 3 – Debrecen Ref 2 – Debrecen Univ 2 – Eger Dioec 3 (!) – Gdańsk Acad 1 – Kecskemét Ref 3 – Keszthely 2 – Kraków Univ 2 – London BM 1 (Nagy István) – Sárospatak Ref 2 – Sibiu Arch 1 – Sibiu Mus 1 – Szeged Univ 2 – Sepsiszentgyörgy, Mus (Varga 9 - 2018) – Tîrgu Mureş 2 2 2 3",47,"Eger, érseki könyvtár – Mármarossziget, r. kath. gymn. – Miskolc, ref. gymn. – Pápa, franc. kolostor – Szeged, kegyesrendi ház",5
ermk5480,RMNY,157,,"Budapest Nat phot. (Cluj, London) – Cluj Univ 3 – London BM 1",2,,0
ermk5481,RMNY,158,,Budapest Acad 1 – Stuttgart 1,2,,0
ermk5484,RMNY,159,,Budapest Nat 4,1,,0
ermk5487,RMNY,160,,,0,,0
ermk5489,RMNY,161,,,0,,0
ermk5490,RMNY,162,,Budapest Acad 2 facs. suppl. – Budapest Nat 2 phot. suppl. 4 – Cluj Acad II 2 – Cluj Acad III 2 2 – Cluj Univ O – Debrecen Ref 3 – Sibiu Mus 1,9,"Budapest, Kornfeld Móric (Index ms; Marosvásárhely, Teleki) – Néhre, Mednyánszky Alajos – Budapest, Nagy István",3
ermk5491,RMNY,163,,,0,,0
ermk5494,RMNY,164,,Budapest Acad phot. (Wien) – Győr Semin 3 – Rein 1 – Wien Nat 1,3,,0
ermk5495,RMNY,165,,,0,"Körmend, Batthyany (MKsz 1892–1893: 217)",1
ermk5497,RMNY,166,,Budapest Nat 2* 3,2,,0
ermk5498,RMNY,167,,Bucureşti Acad 2,1,,0
ermk5499,RMNY,168,,Bucureşti Acad 1 2 2 3 – Budapest Nat 1 – Cluj Univ 2 – Sibiu Metrop 4,7,,0
ermk5500,RMNY,169,,Budapest Nat 1 – Cluj Univ 1 – London BM 3* (Nagy István),3,,0
ermk5501,RMNY,170,,Budapest Nat phot. – Wolfenbüttel 4,1,,0
ermk5504,RMNY,171,,Budapest Nat phot. – Cluj Univ 2*,1,,0
ermk5506,RMNY,172,,Kistarcsa Kende György 2*,1,,0
ermk5507,RMNY,173,,Basel Univ 1 – Budapest Nat phot.,1,,0
ermk5508,RMNY,174,,Budapest Nat 2 2 – Galaţi Civ 3 – Leningrad Nat 2 4 – Moskva Nat 2,6,"Brassó, Biserica Sf. Nicolae (BRV I 11) – Bucureşti, Acad. (BRV I 11) – Ungvár, Bibl. episcopală (Munkács; BRV I 11).",3
ermk5510,RMNY,175,,Budapest Acad phot. – Sibiu Ev 1,1,,0
ermk5514,RMNY,177,,Budapest Nat 2* – Debrecen Ref 2* – Güssing OFM 1,3,,0
ermk5515,RMNY,178,,Budapest Nat phot. – Wolfenbüttel 4,1,,0
ermk5516,RMNY,179,Vacat!,,0,,0
ermk5517,RMNY,180,Vacat!,,0,,0
ermk5518,RMNY,181,,Alba Iulia 1 – Budapest Nat 2* + phot. supplet (Cluj Univ) – Cluj Acad III 3 – Cluj Univ 2 – London BM 3 (Nagy István) – Sárospatak Ref 4,6,"Budapest, Kornfeld Móric (Index ms) – Szatmárnémeti, Schlauch Lőrinc",2
ermk5519,RMNY,182,,Budapest Nat phot. (Marosvásárhely) – London BM 3 (Nagy István),1,"Marosvásárhely, Teleki",1
ermk5523,RMNY,183,,Budapest Acad phot. (London) – Budapest Nat phot. (Tîrgu Mureş) – London BM 3 (Nagy István) – Tîrgu Mureş 3,2,,0
ermk5525,RMNY,184,,Budapest Nat O,1,,0
ermk5526,RMNY,185,,Budapest Endrei Walter 4 – Budapest Hist Medic 4 – Budapest Nat phot. (Hist Medic),2,"Budapest, Toldy Ferenc",1
ermk5527,RMNY,186,,Alba Iulia 2 – Banská Štiavnica Mus O O – Budapest Acad 2 4 – Budapest Ev 2* – Budapest Nat 1 2 4 – Budapest Univ 1 – Cluj Acad II 2 – Cluj Acad III 1 3 3 – Cluj Univ 2 3 3 – Debrecen Ref 3 – Erlangen Univ 1 – Esztergom Dioec 3 – Gyöngyös 2 – Kecskemét Ref 2 4 – Sárospatak Ref 2,24,"Rimaszombat, kishonti ev. esperesség – Sárospatak, ref. coll. (2 expl.) – (Budapest) Nagy István",3
ermk5528,RMNY,187,,Budapest Nat phot. (Sibiu Mus) – Cluj Acad II 1 – Cluj Acad III 1 – Sibiu Mus 1 1,4,"Debrecen, Lugossy József",1
ermk5530,RMNY,188,,Bucureşti Acad 2 2 2 4 – Budapest Nat phot.,4,,0
ermk5531,RMNY,189,,"Braşov Arch 1 1 (Brassó, ev. gymn.) – Braşov Ev 1 – Budapest Nat 1 – Cluj Theol Ref 1 – Cluj Univ 1 – Sibiu Arch 2* – Sibiu Mus 1 1 1 1 1 – Sighişoara 2*",13,"Budapest, Akad. – Gyulafehérvár, Batthyány – Szatmárnémeti, Schlauch Lőrinc (Ranschburg Gusztáv: 141. sz. antiquar könyvkatalogus. Bp. 1937, 102. sz.)",3
ermk5532,RMNY,190,,Budapest Nat 1,1,,0
ermk5533,RMNY,191,,,0,,0
ermk5536,RMNY,192,,Budapest Nat 1,1,,0
ermk5538,RMNY,193,,,0,,0
ermk5540,RMNY,194,,"Budapest Acad 2* 3 – Budapest Nat 1 – Budapest Ref 4 – Cluj Acad II 2 – Cluj Theol Ref 1 – Debrecen Ref 1 – Debrecen Univ 3 – Esztergom Dioec 1 – Košice Scient 1 – Sárospatak Ref 2 – Wolfenbüttel 4 - Csíki Székely Múzeum, Csíksomlyói Ferences Gyűjtemény 1",13,,0
ermk5541,RMNY,195,,,0,,0
ermk5542,RMNY,196,,Aiud 1 – Budapest Acad 1 1 – Budapest Nat 2* 3* 4 – Budapest Ref 2* – Cluj Acad II 2* – Cluj Univ 2 – Debrecen Ref 2* – Esztergom Dioec 2* – Kecskemét Ref O – Košice Scient 1 – Sárospatak Ref 3* 3*,15,"Rozsnyó, gömöri ref. esperesség",1
ermk5543,RMNY,197,,Budapest Acad 1 – Cluj Acad III 1 – Sibiu Mus 1 – Strängnäs 1 – Zwickau 1,5,,0
ermk5544,RMNY,198,,Budapest Nat phot. (Sibiu Ev) – Sibiu Ev 1 – Sibiu Mus 1,2,,0
ermk5547,RMNY,199,,Alba Iulia 1 – Budapest Nat 1 – Cluj Acad II 1,3,,0
ermk5548,RMNY,200,,Budapest Nat phot. – Debrecen Ref O*,1,,0
ermk5549,RMNY,201,,Budapest Nat 4 4 – Budapest Univ 1 – Tîrgu Mureş 1,4,,0
ermk5550,RMNY,202,,Bratislava MS 2 – Budapest Nat 2* – Budapest Univ 1 – Cluj Univ 2* – Sibiu Mus 1 – Sighişoara 1 – Tîrgu Mureş 2,7,"Németújvár, franc. zárda",1
ermk5551,RMNY,203,,Budapest Nat phot. – Tîrgu Mureş 1,1,,0
ermk5552,RMNY,204,,,0,"Harkov, Museum (Slavia 1926/1927: 190)",1
ermk5554,RMNY,205,,Alba Iulia 4 – Berlin Univ Inst 1 – Betliar O – Budapest Nat 1 – Cluj Acad III 2 2 – Cluj Univ 1 – Debrecen Ref 2 – Sárospatak Ref 1 – Stuttgart 2* – Wolfenbüttel 4,11,"Torda, unit. egyh. – Budapest, Nagy István",2
ermk5555,RMNY,206,,,0,,0
