id,00Bibliográfia,01Sorszám_RMNY,01Sorszám_RMNY-S,cities,olimCities
,RMNY,333,,"Bratislava=1, Budapest=7, Cluj=2, Debrecen=1, Győr=1, London=1, Oponice=1, Sárospatak=1, Sopron=1, Wroclaw=1",
ermk5745,RMNY,334,,"Bratislava=2, Budapest=9, Cluj=1, Debrecen=1, Dolný Kubín=1, Kecskemét=1, London=1, Martin=1, Odorhei=1, Sárospatak=1, Szeged=1","Budapest, Betlér"
ermk5747,RMNY,335,,"Alba Iulia=1, Berlin=1, Bratislava=4, Budapest=3, Debrecen=1, Gotha=1, London=1, Pannonhalma=1, Sibiu=1, Wien=1",Pannonhalma
ermk5748,RMNY,336,,Braşov=1,"Hilandar, Bucureşti"
ermk5749,RMNY,337,,Bucureşti=1,
ermk5753,RMNY,338,,,
ermk5754,RMNY,339,,Budapest=1,
ermk5756,RMNY,340,,Budapest=2,
ermk5757,RMNY,341,,Budapest=1,"Budapest, Tibolddaróc"
ermk5758,RMNY,342,,Budapest=2,
ermk5759,RMNY,343,,Budapest=1,
ermk5760,RMNY,344,,Budapest=1,
ermk5761,RMNY,345,,Budapest=1,
ermk5762,RMNY,346,,"Budapest=5, Cluj=2, London=1, Sárospatak=1","Budapest, Debrecen, Kolozsvár, Nagykőrös"
ermk5763,RMNY,347,,"Budapest=6, Cluj=2, Debrecen=2, London=1, Sárospatak=1","Budapest, Debrecen, Nagykőrös"
ermk5764,RMNY,348,,Budapest=2,
ermk5765,RMNY,349,,Budapest=1,
ermk5766,RMNY,350,,Budapest=2,Tibolddaróc
,RMNY,351,,"Alba Iulia=1, Budapest=11, Cluj=3, Debrecen=1, London=1, Tírgu=2",
ermk5769,RMNY,352,,Budapest=1,
,RMNY,353,,"Budapest=2, Prešov=1",
ermk5771,RMNY,354,,"Budapest=4, Praha=1, Zagreb=1",
ermk5772,RMNY,355,,"Budapest=8, Cluj=1, Debrecen=1, Martin=1, Oponice=1, Pápa=1, Sárospatak=1, Radvaň=1",Privigye
ermk5774,RMNY,356,,"Braşov=1, Bucureşti=3, Leningrad=1",Hilandar
ermk5775,RMNY,357,,Budapest=1,
ermk5776,RMNY,358,,"Budapest=3, Debrecen=2, Csíkszereda=1",Budapest
ermk5777,RMNY,359,,Budapest=1,
