RMNY,Hely,Év,Proveniencia,Őrzőhely,Időpont,Forrás,Kötet,Szám,,,,,,,,,,,,
813,Nagyszeben,1597,Bethlen-kollégium,Nagyenyed,1762,KKK,10,382,,,,,,,,,,,,
821,Bártfa,1598,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,273,,,,,,,,,,,,
822,Bártfa,1598,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,273,,,,,,,,,,,,
823,Bártfa,1598,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,273,,,,,,,,,,,,
823,Bártfa,1598,Gabriel Valovicz,Tarnó,1730,Adattár,13/7,299,,,,,,,,,,,,
824,Bártfa,1598,Gabriel Valovicz,Tarnó,1730,Adattár,13/7,302,,,,,,,,,,,,
828,Bártfa,1598,Ráday-család,Pécel,1730,KKK,7,220,,,,,,,,,,,,
830,Debrecen,1598,Rákóczi-család,Sárospatak,1660,KKK,1,157,,,,,,,,,,,,
830,Debrecen,1598,Bethlen-kollégium,Nagyenyed,1762,KKK,10,70,,,,,,,,,,,,
830,Debrecen,1598,Békéssy János,Kassa,1612,Adattár,15,11,,,,,,,,,,,,
836,Kolozsvár,1598,Váradi Székeskáptalan,Nagyvárad,1779,KKK,5,67,,,,,,,,,,,,
846,Bártfa,1599,Bél Mátyás,Pozsony,1749,Adattár,13/5,99,,,,,,,,,,,,
846,Bártfa,1599,Radvánszky László,Sajókaza,1750,Adattár,13/5,184,,,,,,,,,,,,
846,Bártfa,1599,Református Kollégium,Debrecen,1738,Adattár,19/2,56,,,,,,,,,,,,
846,Bártfa,1599,Gabriel Valovicz,Tarnó,1730,Adattár,13/7,307,,,,,,,,,,,,
850,Bártfa,1599,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,273,,,,,,,,,,,,
853,Bártfa,1599,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,273,,,,,,,,,,,,
854,Bártfa,1599,Ráday-család,Pécel,1730,KKK,7,218,,,,,,,,,,,,
